M尽/Ano Aprova豪o;Linha/Programa;Agente Financeiro;Tipo de Agricultura;Benefici㎎ios;Estado;Regi黍;Valor Aprovado R$;Nｼ de Opera惚es
 7/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;7.896.515,0;15
 7/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;7.127.605,0;10
 7/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;3.990.680,0;11
 7/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;808.760,0;2
 7/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;3.058.458,9;6
 7/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;714.320,0;5
 7/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;2.029.050,0;7
 7/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;TOCANTINS           ;NORTE               ;583.125,0;1
 7/2020;MODERFROTA;BANRISUL;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;807.500,0;1
 7/2020;MODERFROTA;BANRISUL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;6.343.086,2;25
 7/2020;MODERFROTA;BANRISUL;Agricultura Empresarial;Produtor Rural - Demais;TOCANTINS           ;NORTE               ;731.000,0;1
 7/2020;MODERFROTA;BASA;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;182.750,0;1
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Cooperativa;MINAS GERAIS        ;SUDESTE             ;83.300,0;1
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;MATO GROSSO DO SUL  ;CENTRO OESTE        ;1.458.685,0;6
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;MINAS GERAIS        ;SUDESTE             ;1.382.718,8;5
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;RIO GRANDE DO SUL   ;SUL                 ;177.060,0;1
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;CEARA               ;NORDESTE            ;40.800,0;1
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;DISTRITO FEDERAL    ;CENTRO OESTE        ;430.780,0;3
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;6.238.461,7;28
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;ESPIRITO SANTO      ;SUDESTE             ;511.530,0;13
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;33.551.222,7;88
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;MARANHAO            ;NORDESTE            ;6.837.352,0;34
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;28.584.421,8;81
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;8.931.771,1;25
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;23.333.561,6;110
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;PARA                ;NORTE               ;7.565.365,0;26
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;18.303.697,9;65
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;PERNAMBUCO          ;NORDESTE            ;147.050,0;2
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;PIAUI               ;NORDESTE            ;2.323.417,0;7
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;RIO DE JANEIRO      ;SUDESTE             ;27.191,5;1
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;7.026.742,2;32
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;2.049.090,0;5
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;RORAIMA             ;NORTE               ;174.250,0;2
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;3.338.550,0;11
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;19.917.534,0;123
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;SERGIPE             ;NORDESTE            ;386.750,0;6
 7/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;TOCANTINS           ;NORTE               ;12.178.517,5;46
 7/2020;MODERFROTA;BRB;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;374.000,0;1
 7/2020;MODERFROTA;BRDE;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;1.937.750,0;2
 7/2020;MODERFROTA;BRDE;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;272.100,0;2
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Empresas Agro;MINAS GERAIS        ;SUDESTE             ;1.105.000,0;2
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Empresas Agro;SAO PAULO           ;SUDESTE             ;487.780,0;2
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;DISTRITO FEDERAL    ;CENTRO OESTE        ;1.620.850,0;4
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;15.728.452,5;11
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;11.580.590,0;35
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;MARANHAO            ;NORDESTE            ;5.210.520,0;19
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;100.767.172,3;178
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;22.848.510,2;54
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;34.223.523,7;102
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;PARA                ;NORTE               ;2.837.949,0;6
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;76.811.930,0;298
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;PERNAMBUCO          ;NORDESTE            ;142.800,0;1
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;PIAUI               ;NORDESTE            ;6.133.150,0;12
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;23.253.194,4;71
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;6.098.079,0;14
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;8.140.564,0;33
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;23.823.587,7;133
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;SERGIPE             ;NORDESTE            ;832.596,0;3
 7/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;TOCANTINS           ;NORTE               ;10.015.401,8;16
 7/2020;MODERFROTA;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;3.481.600,0;5
 7/2020;MODERFROTA;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;27.000,0;1
 7/2020;MODERFROTA;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;880.000,0;3
